Date,Price,Open,High,Low,Volume,Change %
Mar 08 2019, 1341.80, 1342.90, 1342.90, 1342.90, 0.00K, 1.02%
Mar 07 2019, 1328.20, 1329.40, 1329.40, 1329.40, 0.04K, -0.12%
Mar 06 2019, 1329.80, 1327.50, 1327.50, 1327.50, 0.14K, 0.23%
Mar 05 2019, 1326.80, 1328.00, 1328.00, 1328.00, 0.00K, -0.21%
Mar 04 2019, 1329.60, 1336.50, 1339.80, 1327.40, 0.02K, -0.89%
Mar 01 2019, 1341.60, 1351.60, 1351.60, 1351.60, 0.13K, -1.25%
Feb 28 2019, 1358.60, 1364.30, 1364.30, 1363.90, 0.00K, -0.38%
Feb 27 2019, 1363.80, 1371.00, 1371.00, 1371.00, 0.00K, -0.54%
Feb 26 2019, 1371.20, 1370.10, 1370.10, 1370.10, 0.00K, -0.07%
Feb 25 2019, 1372.20, 1373.10, 1373.10, 1373.10, 0.00K, -0.25%
Feb 22 2019, 1375.70, 1370.30, 1374.10, 1370.30, 0.01K, 0.39%
Feb 21 2019, 1370.40, 1377.10, 1377.10, 1377.10, 0.05K, -1.47%
Feb 20 2019, 1390.80, 1389.90, 1389.90, 1389.90, 0.03K, 0.22%
Feb 19 2019, 1387.80, 1371.60, 1381.10, 1371.60, 0.04K, 4.38%
Feb 18 2019, 1329.55, 1324.35, 1330.75, 1324.05, -, 0.40%
Feb 17 2019, 1324.25, 1324.65, 1324.95, 1323.85, -, -2.99%
Feb 15 2019, 1365.10, 1364.90, 1364.90, 1364.90, 0.03K, 0.59%
Feb 14 2019, 1357.10, 1305.00, 1311.80, 1301.60, 0.07K, -0.10%
Feb 13 2019, 1358.50, 1354.00, 1354.00, 1346.50, 0.05K, 0.10%
Feb 12 2019, 1357.10, 1357.30, 1357.30, 1357.30, 0.00K, 0.15%
Feb 11 2019, 1355.10, 1353.60, 1353.60, 1353.60, 0.03K, -0.48%
Feb 08 2019, 1361.70, 1355.10, 1355.10, 1355.10, 0.17K, 0.31%
Feb 07 2019, 1357.50, 1351.30, 1356.70, 1351.30, 0.05K, -0.01%
Feb 06 2019, 1357.70, 1360.80, 1360.80, 1360.80, 0.00K, -0.35%
Feb 05 2019, 1362.50, 1361.90, 1362.50, 1361.90, 0.00K, 0.02%
Feb 04 2019, 1362.20, 1360.30, 1360.30, 1358.10, 0.00K, -0.21%
Feb 01 2019, 1365.00, 1368.60, 1368.60, 1368.60, 0.00K, -0.21%
Jan 31 2019, 1367.90, 1366.30, 1366.40, 1366.30, 0.00K, 0.65%
Jan 30 2019, 1359.10, 1358.80, 1358.90, 1358.80, 0.05K, 0.03%
Jan 29 2019, 1358.70, 1351.00, 1354.40, 1351.00, 0.20K, 0.43%
Jan 28 2019, 1352.90, 1348.70, 1348.70, 1348.70, 0.00K, 0.43%
Jan 25 2019, 1347.10, 1340.20, 1347.00, 1340.20, 0.03K, 1.38%
Jan 24 2019, 1328.70, 1324.70, 1325.10, 1324.70, 0.05K, -0.33%
Jan 23 2019, 1333.10, 1281.70, 1283.90, 1278.70, 0.02K, 0.07%
Jan 22 2019, 1332.20, 1283.30, 1283.30, 1283.20, 0.15K, 4.16%
Jan 21 2019, 1279.05, 1281.95, 1282.95, 1276.15, -, -0.23%
Jan 20 2019, 1282.05, 1281.30, 1282.70, 1280.50, -, -3.74%
Jan 18 2019, 1331.90, 1281.30, 1281.30, 1281.30, 0.00K, -0.73%
Jan 17 2019, 1341.70, 1339.20, 1339.20, 1339.00, 0.00K, -0.10%
Jan 16 2019, 1343.10, 1291.60, 1291.60, 1291.60, 0.00K, 0.42%
Jan 15 2019, 1337.50, 1290.10, 1292.70, 1290.10, 0.01K, -0.26%
Jan 14 2019, 1341.00, 1331.60, 1331.60, 1331.60, 0.40K, 0.13%
Jan 11 2019, 1339.20, 1341.50, 1341.50, 1339.40, 0.05K, 0.18%
Jan 10 2019, 1336.80, 1284.70, 1284.70, 1284.70, 0.55K, -0.32%
Jan 09 2019, 1341.10, 1279.40, 1289.30, 1279.20, 0.10K, 0.46%
Jan 08 2019, 1334.90, 1335.00, 1335.00, 1335.00, 0.00K, -0.31%
Jan 07 2019, 1339.00, 1332.20, 1332.20, 1332.20, 0.01K, 0.31%
Jan 04 2019, 1334.80, 1330.00, 1330.00, 1330.00, 0.10K, -0.65%
Jan 03 2019, 1343.60, 1334.50, 1334.50, 1334.50, 0.08K, 0.81%
Jan 02 2019, 1332.80, 1332.50, 1332.50, 1331.30, 0.08K, 3.85%
Jan 01 2019, 1283.35, 1284.70, 1284.75, 1282.85, -, -3.52%
